GeneSymbol,FC,pval,sd,BioID,cell
Hap1,-1.83173,0.566380403166749,2.94959224355352,NL1,Astrocyte
Mgll,1.206547,0.070141702246941,0.0314347040743845,NL1,Astrocyte
Mrps12,1.946469,0.122909533351499,0.673156256974901,NL1,Astrocyte
Syt3,1.043607,0.83686211382249,0.242310747482773,NL1,Astrocyte
Myadm,1.276247,0.234604649527721,0.167749353297902,NL1,Astrocyte
Ndufa1,1.382543,0.26355047392638,0.142474039862919,NL1,Astrocyte
Nudc,-4.104661,0.020217529973057,0.0445442058800617,NL1,Astrocyte
Enc1,1.364278,0.198340105424354,0.276951991438451,NL1,Astrocyte
Noct,-1.076353,0.770761735520069,0.306156519997715,NL1,Astrocyte
Ppfibp2,1.684186,0.198105532847254,0.431016910920856,NL1,Astrocyte
Hnrnph1,-1.037516,0.721307988802488,0.158389788026968,NL1,Astrocyte
Api5,-16.20664,0.156683665910842,0.182330189215645,NL1,Astrocyte
Bcat2,1.37835,0.223976310356537,0.337046730601985,NL1,Astrocyte
Timm44,-1.897209,0.0478796777913323,0.0385567965634771,NL1,Astrocyte
Cops5,-1.00983,0.846929125149577,0.0721913339973265,NL1,Astrocyte
Slc1a4,1.644475,0.299416999293286,1.15093141472805,NL1,Astrocyte
Pik3cd,1.096757,0.711102102729307,0.216458817292464,NL1,Astrocyte
Cdk5r2,1.013857,0.972847372056273,0.344412058508404,NL1,Astrocyte
Ctnnd2,1.761601,0.104490676970161,0.223143508283479,NL1,Astrocyte
Aldh1a7,3.455985,0.310385047362978,15.8915084929762,NL1,Astrocyte
Pitpnm1,1.026704,0.739341750627615,0.0764132533082756,NL1,Astrocyte
Rab33b,1.434886,0.00830986196571429,0.00815093266151189,NL1,Astrocyte
Gamt,-1.490161,0.153765953028765,0.115545418227676,NL1,Astrocyte
Sdc4,-8.290354,0.938527616748575,3.85668585927206,NL1,Astrocyte
Zw10,-3.641648,0.0659343036654366,0.121033589349113,NL1,Astrocyte
Ddost,1.260827,0.0434184091054546,0.0674695379374805,NL1,Astrocyte
Ap3d1,1.065594,0.587246967547902,0.0890453964683037,NL1,Astrocyte
Srpk2,-1.098609,0.102947506459627,0.0333504785599774,NL1,Astrocyte
Dapk3,-1.407268,0.358663707453219,0.175091913002566,NL1,Astrocyte
Nmbr,1.049767,0.799192284463337,0.419579558043185,NL1,Astrocyte
Rgs9,1.184531,0.533484729423763,0.213551762779132,NL1,Astrocyte
Rgs7,1.281671,0.202268412849365,0.156309376644119,NL1,Astrocyte
Csnk2a2,-1.184557,0.190569457283951,0.107087828791684,NL1,Astrocyte
Gucy1b1,1.213998,0.292895088264939,0.143897317879252,NL1,Astrocyte
Itgb3,-1.43523,0.479056853823291,0.452005489320088,NL1,Astrocyte
Cd200,1.039223,0.773008590689655,0.202566704612714,NL1,Astrocyte
Reps1,-1.107511,0.49982228444913,0.18001876098061,NL1,Astrocyte
Akap2,-2.028089,0.0678945420640569,0.114400782698335,NL1,Astrocyte
Nlk,-2.789831,0.324189000672495,0.522098886483822,NL1,Astrocyte
Prkag1,1.013487,0.895417589215292,0.179592611273103,NL1,Astrocyte
Sema6b,1.232538,0.221733966564103,0.16991965221983,NL1,Astrocyte
Tnk2,1.1856,0.53533275439043,0.316632235425756,NL1,Astrocyte
Crym,1.342342,0.102302548936851,0.262889696733664,NL1,Astrocyte
Get3,1.068324,0.285253064126054,0.0595274610829058,NL1,Astrocyte
Slk,1.044954,0.586976595678563,0.074995728861415,NL1,Astrocyte
Cntnap1,1.092453,0.530413248925281,0.105152099059181,NL1,Astrocyte
Mapkapk5,-1.585162,0.579701750537634,0.714861007540945,NL1,Astrocyte
Bnip3,17.8893,0.385059004146341,20.3406256841115,NL1,Astrocyte
Trappc3,-1.506363,0.154692254133333,0.129560799892793,NL1,Astrocyte
Cacna1b,1.495476,0.364431630363865,0.56573375826992,NL1,Astrocyte
Pgrmc1,1.108047,0.487997724263524,0.0628709453235814,NL1,Astrocyte
Impa1,1.012945,0.850531033052068,0.0271652327084605,NL1,Astrocyte
Entpd2,1.750822,0.258696571649285,0.775701728708526,NL1,Astrocyte
Bckdk,1.076843,0.839856484577114,0.410667914580682,NL1,Astrocyte
Copb2,-1.165911,0.100008630032787,0.00903095469958729,NL1,Astrocyte
Nck2,-1.08608,0.843099461481175,0.374133020515369,NL1,Astrocyte
Snca,-1.100659,0.636621285995316,1.16801322502252,NL1,Astrocyte
Tlk2,-2.030806,0.0260359550555556,0.0286343785397797,NL1,Astrocyte
Pde6d,1.254603,0.491689695471497,0.247530138764776,NL1,Astrocyte
Tpmt,-1.76237,0.0980499608637874,0.12790892663278,NL1,Astrocyte
Impact,-1.080534,0.518483799534041,0.0852844430747011,NL1,Astrocyte
Stk10,-1.021945,0.925428582567353,0.161298575848321,NL1,Astrocyte
Syngr1,1.419745,0.252774399058085,0.264972680349804,NL1,Astrocyte
Strn,-2.261881,0.0208545213692308,0.0298834703126034,NL1,Astrocyte
Nipsnap1,1.291999,0.0338632189411765,0.0992292959836207,NL1,Astrocyte
Nipsnap2,1.445275,0.0429124250676692,0.106661899596702,NL1,Astrocyte
Sap18,1.525555,0.0695000658447489,0.124856730577288,NL1,Astrocyte
Septin7,1.07018,0.599754480421254,0.129345699691058,NL1,Astrocyte
Acot1,-2.008842,0.0695436628314607,0.137030563502214,NL1,Astrocyte
Rpl35a,1.261185,0.0442474408633093,0.047892884028885,NL1,Astrocyte
Atp2a2,1.205254,0.124116417181572,0.0801064683280211,NL1,Astrocyte
Slc6a2,6.760225,0.255096741029641,9.91198330820685,NL1,Astrocyte
