GeneSymbol,FC,pval,BioID,cell
Nmt1,-1.350976,0.01840137,NL1,Astrocyte
Nmt2,-1.66239,0.02496011,NL1,Astrocyte
Epb41l2,-1.192328,0.06946918,NL1,Astrocyte
Gpx4,-1.257017,0.7934042,NL1,Astrocyte
Emc8,-1.042735,0.7769077,NL1,Astrocyte
Pdlim1,-1.329956,0.6236248,NL1,Astrocyte
Ulk1,-1.444085,0.2639504,NL1,Astrocyte
Fhl2,1.245714,0.2529191,NL1,Astrocyte
Stx7,-1.173874,0.05242266,NL1,Astrocyte
Gnaz,1.187713,0.06578015,NL1,Astrocyte
Slc16a7,1.207457,0.1055513,NL1,Astrocyte
Sfn,-1.383036,0.4904001,NL1,Astrocyte
Osmr,-1.191163,0.2334182,NL1,Astrocyte
Ugdh,-1.123107,0.6317453,NL1,Astrocyte
Tnfaip1,1.547235,0.08608799,NL1,Astrocyte
Ubr1,-1.617293,0.05847241,NL1,Astrocyte
Stra6,1.258556,0.230287,NL1,Astrocyte
Snx3,-1.459055,0.02599896,NL1,Astrocyte
Snx12,-1.155477,0.05275038,NL1,Astrocyte
Clcn7,-1.138125,0.432526,NL1,Astrocyte
Hsd17b12,1.609998,0.005036417,NL1,Astrocyte
Hcn4,1.00951,0.8494668,NL1,Astrocyte
Diaph2,-1.045051,0.6396319,NL1,Astrocyte
Smpd2,1.269884,0.04482691,NL1,Astrocyte
Dtnb,1.720737,0.01341841,NL1,Astrocyte
Cask,1.368448,0.006303885,NL1,Astrocyte
Pfdn2,-1.438423,0.06227498,NL1,Astrocyte
Rtn2,-1.14567,0.7657208,NL1,Astrocyte
Ttc3,1.198139,0.4283348,NL1,Astrocyte
Cfdp1,-130.5102,0.00313123,NL1,Astrocyte
Wiz,-4.263791,0.004490832,NL1,Astrocyte
Znf326,-1.382206,0.1869854,NL1,Astrocyte
Sorl1,1.951777,0.00540429,NL1,Astrocyte
Ntsr1,1.160543,0.06996111,NL1,Astrocyte
Ctnnal1,-2.916172,0.05767495,NL1,Astrocyte
Wdr1,1.129596,0.007576201,NL1,Astrocyte
Slc4a4,1.456223,0.09504093,NL1,Astrocyte
Ikbkb,1.157812,0.3943397,NL1,Astrocyte
Vti1b,-1.195107,0.3478609,NL1,Astrocyte
Tulp3,1.607356,0.01995486,NL1,Astrocyte
Papss2,-1.562512,0.052626,NL1,Astrocyte
Mtx2,-1.370777,0.1641122,NL1,Astrocyte
Adcy1,1.185935,0.09761576,NL1,Astrocyte
Klc1,-2.718887,0.0004741608,NL1,Astrocyte
Klc2,-2.071639,0.001582814,NL1,Astrocyte
Dhcr7,1.074192,0.3160493,NL1,Astrocyte
Capns1,-2.979013,0.0003990051,NL1,Astrocyte
Dync1i1,1.203176,0.005451538,NL1,Astrocyte
Dync1i2,1.138518,0.2921412,NL1,Astrocyte
Plin4,1.148741,0.9891731,NL1,Astrocyte
Cntfr,1.464944,0.06471143,NL1,Astrocyte
Dnmt3a,-1.571056,0.09231789,NL1,Astrocyte
Ikbkg,-5.459825,0.04479067,NL1,Astrocyte
Ppt1,-31.30838,0.0001914539,NL1,Astrocyte
Zfr,-1.192955,0.1059117,NL1,Astrocyte
Ddc,1.05971,0.7495482,NL1,Astrocyte
Cops3,1.126911,0.2141923,NL1,Astrocyte
Cops4,-1.297015,0.0565244,NL1,Astrocyte
Cops6,7.421471,0.001175149,NL1,Astrocyte
Slc27a3,-1.070301,0.6669722,NL1,Astrocyte
Hnrnpa2b1,-1.738089,0.05596197,NL1,Astrocyte
Comt,-1.301447,0.11995,NL1,Astrocyte
Cacng2,1.953363,0.02058763,NL1,Astrocyte
Parg,-5.350576,0.08023384,NL1,Astrocyte
Usp2,1.22454,0.3629707,NL1,Astrocyte
Gosr1,1.100744,0.6815328,NL1,Astrocyte
Pak1,-1.244244,0.2266665,NL1,Astrocyte
Brd7,-6.676148,0.007564468,NL1,Astrocyte
Psmc3,-1.667286,0.06794734,NL1,Astrocyte
Clpp,1.247598,0.1309865,NL1,Astrocyte
Stk16,1.366286,0.006239264,NL1,Astrocyte
Hcn2,1.188983,0.02218082,NL1,Astrocyte
Hcn1,1.034411,0.3599139,NL1,Astrocyte
Hcn3,1.611449,0.06800947,NL1,Astrocyte
Ctbp1,1.130013,0.07399202,NL1,Astrocyte
Map7,-1.311443,0.004367885,NL1,Astrocyte
Bsn,1.074578,0.7625749,NL1,Astrocyte
Birc6,-2.18491,0.0002841962,NL1,Astrocyte
Gdap1,1.313728,0.02663176,NL1,Astrocyte
Scrg1,-1.068349,0.7679784,NL1,Astrocyte
Tom1,-2.2671,0.03081443,NL1,Astrocyte
Rpp30,1.033181,0.7671953,NL1,Astrocyte
Dcx,1.20151,0.08472469,NL1,Astrocyte
Sc5d,1.186038,0.02930983,NL1,Astrocyte
Shd,-1.161496,0.1757307,NL1,Astrocyte
Adam15,1.575838,0.02481533,NL1,Astrocyte
Idh1,-1.794667,0.01571815,NL1,Astrocyte
Akap10,-1.138521,0.04631455,NL1,Astrocyte
Arl6,1.23165,0.007893955,NL1,Astrocyte
Rbbp9,1.22741,0.07036985,NL1,Astrocyte
Ccnk,1.372169,0.8526397,NL1,Astrocyte
Apaf1,1.117012,0.3386998,NL1,Astrocyte
Mpp3,1.378291,0.1606125,NL1,Astrocyte
Syn1,1.31116,0.01247731,NL1,Astrocyte
Nfatc1,-2.05427,0.02888306,NL1,Astrocyte
Lin7c,1.467656,0.08197749,NL1,Astrocyte
Gnpda1,1.053507,0.4562315,NL1,Astrocyte
Setdb1,-1.7261,0.04070503,NL1,Astrocyte
Stx8,-1.404353,0.3045117,NL1,Astrocyte
Olfm1,-1.026241,0.7827039,NL1,Astrocyte
Cpd,1.038053,0.6489985,NL1,Astrocyte
Robo1,1.468742,0.006154395,NL1,Astrocyte
Matn4,1.15382,0.2916583,NL1,Astrocyte
Sh3pxd2a,-1.268605,0.0440789,NL1,Astrocyte
Mkln1,1.253737,0.01820774,NL1,Astrocyte
Itm2b,76.35888,0.0113612,NL1,Astrocyte
Coro1a,1.189879,0.06239198,NL1,Astrocyte
Cope,1.307578,0.3153695,NL1,Astrocyte
Pde4a,-1.246319,0.09907279,NL1,Astrocyte
Rbm3,1.228654,0.3750791,NL1,Astrocyte
Cd93,1.214715,0.4527734,NL1,Astrocyte
